# Lightning emoji catalogue; Unicode Emoji 17.0; emojis crate 0.8.2
# emoji\tname\taliases\tcategory\tbaseEmoji\ttone
👈🏼	backhand index pointing left: medium-light skin tone		People & Body	👈	medium-light
👈🏽	backhand index pointing left: medium skin tone		People & Body	👈	medium
👈🏾	backhand index pointing left: medium-dark skin tone		People & Body	👈	medium-dark
👈🏿	backhand index pointing left: dark skin tone		People & Body	👈	dark
👉	backhand index pointing right	point_right	People & Body	👉	default
👉🏻	backhand index pointing right: light skin tone		People & Body	👉	light
👉🏼	backhand index pointing right: medium-light skin tone		People & Body	👉	medium-light
👉🏽	backhand index pointing right: medium skin tone		People & Body	👉	medium
👉🏾	backhand index pointing right: medium-dark skin tone		People & Body	👉	medium-dark
👉🏿	backhand index pointing right: dark skin tone		People & Body	👉	dark
👆	backhand index pointing up	point_up_2	People & Body	👆	default
👆🏻	backhand index pointing up: light skin tone		People & Body	👆	light
👆🏼	backhand index pointing up: medium-light skin tone		People & Body	👆	medium-light
👆🏽	backhand index pointing up: medium skin tone		People & Body	👆	medium
👆🏾	backhand index pointing up: medium-dark skin tone		People & Body	👆	medium-dark
👆🏿	backhand index pointing up: dark skin tone		People & Body	👆	dark
🖕	middle finger	middle_finger fu	People & Body	🖕	default
🖕🏻	middle finger: light skin tone		People & Body	🖕	light
🖕🏼	middle finger: medium-light skin tone		People & Body	🖕	medium-light
🖕🏽	middle finger: medium skin tone		People & Body	🖕	medium
🖕🏾	middle finger: medium-dark skin tone		People & Body	🖕	medium-dark
🖕🏿	middle finger: dark skin tone		People & Body	🖕	dark
👇	backhand index pointing down	point_down	People & Body	👇	default
👇🏻	backhand index pointing down: light skin tone		People & Body	👇	light
👇🏼	backhand index pointing down: medium-light skin tone		People & Body	👇	medium-light
👇🏽	backhand index pointing down: medium skin tone		People & Body	👇	medium
👇🏾	backhand index pointing down: medium-dark skin tone		People & Body	👇	medium-dark
👇🏿	backhand index pointing down: dark skin tone		People & Body	👇	dark
☝️	index pointing up	point_up	People & Body	☝️	default
☝🏻	index pointing up: light skin tone		People & Body	☝️	light
☝🏼	index pointing up: medium-light skin tone		People & Body	☝️	medium-light
☝🏽	index pointing up: medium skin tone		People & Body	☝️	medium
☝🏾	index pointing up: medium-dark skin tone		People & Body	☝️	medium-dark
☝🏿	index pointing up: dark skin tone		People & Body	☝️	dark
🫵	index pointing at the viewer	index_pointing_at_the_viewer	People & Body	🫵	default
🫵🏻	index pointing at the viewer: light skin tone		People & Body	🫵	light
🫵🏼	index pointing at the viewer: medium-light skin tone		People & Body	🫵	medium-light
🫵🏽	index pointing at the viewer: medium skin tone		People & Body	🫵	medium
🫵🏾	index pointing at the viewer: medium-dark skin tone		People & Body	🫵	medium-dark
🫵🏿	index pointing at the viewer: dark skin tone		People & Body	🫵	dark
👍	thumbs up	+1 thumbsup	People & Body	👍	default
👍🏻	thumbs up: light skin tone		People & Body	👍	light
👍🏼	thumbs up: medium-light skin tone		People & Body	👍	medium-light
👍🏽	thumbs up: medium skin tone		People & Body	👍	medium
👍🏾	thumbs up: medium-dark skin tone		People & Body	👍	medium-dark
👍🏿	thumbs up: dark skin tone		People & Body	👍	dark
👎	thumbs down	-1 thumbsdown	People & Body	👎	default
👎🏻	thumbs down: light skin tone		People & Body	👎	light
👎🏼	thumbs down: medium-light skin tone		People & Body	👎	medium-light
👎🏽	thumbs down: medium skin tone		People & Body	👎	medium
👎🏾	thumbs down: medium-dark skin tone		People & Body	👎	medium-dark
👎🏿	thumbs down: dark skin tone		People & Body	👎	dark
✊	raised fist	fist_raised fist	People & Body	✊	default
✊🏻	raised fist: light skin tone		People & Body	✊	light
✊🏼	raised fist: medium-light skin tone		People & Body	✊	medium-light
✊🏽	raised fist: medium skin tone		People & Body	✊	medium
✊🏾	raised fist: medium-dark skin tone		People & Body	✊	medium-dark
✊🏿	raised fist: dark skin tone		People & Body	✊	dark
👊	oncoming fist	fist_oncoming facepunch punch	People & Body	👊	default
👊🏻	oncoming fist: light skin tone		People & Body	👊	light
👊🏼	oncoming fist: medium-light skin tone		People & Body	👊	medium-light
👊🏽	oncoming fist: medium skin tone		People & Body	👊	medium
👊🏾	oncoming fist: medium-dark skin tone		People & Body	👊	medium-dark
👊🏿	oncoming fist: dark skin tone		People & Body	👊	dark
🤛	left-facing fist	fist_left	People & Body	🤛	default
🤛🏻	left-facing fist: light skin tone		People & Body	🤛	light
🤛🏼	left-facing fist: medium-light skin tone		People & Body	🤛	medium-light
🤛🏽	left-facing fist: medium skin tone		People & Body	🤛	medium
🤛🏾	left-facing fist: medium-dark skin tone		People & Body	🤛	medium-dark
🤛🏿	left-facing fist: dark skin tone		People & Body	🤛	dark
🤜	right-facing fist	fist_right	People & Body	🤜	default
🤜🏻	right-facing fist: light skin tone		People & Body	🤜	light
🤜🏼	right-facing fist: medium-light skin tone		People & Body	🤜	medium-light
🤜🏽	right-facing fist: medium skin tone		People & Body	🤜	medium
🤜🏾	right-facing fist: medium-dark skin tone		People & Body	🤜	medium-dark
🤜🏿	right-facing fist: dark skin tone		People & Body	🤜	dark
👏	clapping hands	clap	People & Body	👏	default
👏🏻	clapping hands: light skin tone		People & Body	👏	light
👏🏼	clapping hands: medium-light skin tone		People & Body	👏	medium-light
👏🏽	clapping hands: medium skin tone		People & Body	👏	medium
👏🏾	clapping hands: medium-dark skin tone		People & Body	👏	medium-dark
👏🏿	clapping hands: dark skin tone		People & Body	👏	dark
🙌	raising hands	raised_hands	People & Body	🙌	default
🙌🏻	raising hands: light skin tone		People & Body	🙌	light
🙌🏼	raising hands: medium-light skin tone		People & Body	🙌	medium-light
🙌🏽	raising hands: medium skin tone		People & Body	🙌	medium
🙌🏾	raising hands: medium-dark skin tone		People & Body	🙌	medium-dark
🙌🏿	raising hands: dark skin tone		People & Body	🙌	dark
🫶	heart hands	heart_hands	People & Body	🫶	default
🫶🏻	heart hands: light skin tone		People & Body	🫶	light
🫶🏼	heart hands: medium-light skin tone		People & Body	🫶	medium-light
🫶🏽	heart hands: medium skin tone		People & Body	🫶	medium
🫶🏾	heart hands: medium-dark skin tone		People & Body	🫶	medium-dark
🫶🏿	heart hands: dark skin tone		People & Body	🫶	dark
👐	open hands	open_hands	People & Body	👐	default
